,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ha Tinh,92,VN,1553568951,100,18.33,105.9,73.29,5.73
1,Colquechaca,92,BO,1553569111,97,-18.7,-66.0,45.03,1.92
2,Mar del Plata,68,AR,1553569112,100,-46.43,-67.52,47.55,6.06
3,Tasiilaq,88,GL,1553565000,86,65.61,-37.64,26.6,29.97
4,Hobart,75,AU,1553568914,38,-42.88,147.33,59.0,19.46
5,Rikitea,64,PF,1553569116,100,-23.12,-134.97,75.99,9.53
6,Aquiraz,20,BR,1553569105,88,-3.9,-38.39,81.0,2.24
7,Arraial do Cabo,0,BR,1553569118,99,-22.97,-42.02,76.26,4.16
8,East London,92,ZA,1553569119,100,-33.02,27.91,68.79,18.14
9,Hilo,40,US,1553568803,60,19.71,-155.08,75.2,11.41
10,Bluff,68,AU,1553568885,50,-23.58,149.07,87.15,4.61
11,Wanaka,64,NZ,1553569123,73,-44.7,169.14,64.47,6.62
12,Busselton,44,AU,1553569080,26,-33.64,115.35,78.01,14.23
13,Husavik,0,CA,1553569125,75,50.56,-96.99,24.51,9.08
14,Hasaki,75,JP,1553567400,93,35.73,140.83,57.0,2.24
15,Jafarpur,20,IN,1553567400,69,22.78,88.39,82.4,9.17
16,Qaanaaq,0,GL,1553569129,70,77.48,-69.36,-11.23,8.52
17,Syasstroy,92,RU,1553569130,93,60.14,32.56,29.28,4.72
18,Gunjur,40,GM,1553565600,82,13.18,-16.76,66.2,11.41
19,Thompson,75,CA,1553565600,39,55.74,-97.86,30.2,8.05
20,Esna,8,RO,1553569134,67,45.2,27.57,45.39,11.32
21,Kodiak,40,US,1553569112,75,39.95,-94.76,46.99,8.05
22,Umm Kaddadah,0,SD,1553569136,23,13.6,26.69,67.08,13.33
23,Ushuaia,75,AR,1553565600,65,-54.81,-68.31,46.4,24.16
24,Punta Arenas,40,CL,1553568747,65,-53.16,-70.91,44.6,6.93
25,Jamestown,0,AU,1553569140,63,-33.21,138.6,66.18,7.96
26,Yarensk,80,RU,1553569141,86,62.17,49.09,30.72,10.76
27,Sinnamary,100,GF,1553569142,92,5.38,-52.96,80.49,10.76
28,Upernavik,88,GL,1553569143,100,72.79,-56.15,2.73,12.44
29,Bambari,24,CF,1553569145,87,5.77,20.68,73.38,8.75
30,Mataura,88,NZ,1553568607,90,-46.19,168.86,62.01,1.99
31,Belen,75,TR,1553568979,62,36.49,36.19,55.4,13.87
32,Cape Town,0,ZA,1553568792,72,-33.93,18.42,64.0,21.92
33,Ilulissat,88,GL,1553565000,85,69.22,-51.1,23.0,10.29
34,Hokitika,100,NZ,1553569151,96,-42.72,170.96,65.91,27.42
35,Castro,0,CL,1553565600,81,-42.48,-73.76,50.0,11.41
36,Yatou,75,CM,1553565600,100,3.63,9.81,78.8,2.24
